                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                  2.351,                 1.6184,                 1.5254,                0.25137,                0.20189,                0.15608,                0.07657,                 2.1363,                 1.4553,                 1.4484,             0.00025619,             0.00025619,             0.00025619
                     59,                 2.3874,                 1.6217,                 1.5438,                0.23609,                0.18169,                0.13028,                0.05363,                 2.3246,                 1.5914,                 1.4973,             0.00025037,             0.00025037,             0.00025037
                     60,                 2.3905,                 1.6221,                 1.5269,                 0.2726,                0.21064,                0.16048,                0.07145,                 2.1549,                 1.4474,                 1.4327,             0.00024455,             0.00024455,             0.00024455
                     61,                 2.3101,                 1.6011,                 1.5057,                0.31536,                0.20226,                0.16655,                 0.0795,                 2.1145,                 1.4513,                  1.411,             0.00023873,             0.00023873,             0.00023873
                     62,                 2.3104,                 1.5516,                 1.5011,                 0.2544,                 0.1795,                0.15073,                0.07387,                 2.1579,                 1.5308,                 1.4404,             0.00023291,             0.00023291,             0.00023291
                     63,                 2.3122,                  1.585,                 1.5143,                0.29272,                0.19697,                0.16941,                0.08242,                 2.0985,                 1.3675,                 1.4087,             0.00022709,             0.00022709,             0.00022709
                     64,                 2.3117,                 1.5697,                 1.5031,                0.28611,                0.19691,                0.17692,                0.08202,                 2.1252,                 1.4148,                 1.4105,             0.00022126,             0.00022126,             0.00022126
                     65,                 2.2747,                 1.5325,                 1.4895,                0.28824,                0.20806,                0.17171,                0.08511,                 2.0871,                 1.4347,                 1.3925,             0.00021544,             0.00021544,             0.00021544
                     66,                 2.2674,                 1.5083,                 1.4631,                0.30742,                0.21001,                0.17842,                0.08706,                  2.054,                 1.4115,                 1.3913,             0.00020962,             0.00020962,             0.00020962
                     67,                 2.2647,                 1.5562,                  1.489,                0.27419,                0.22414,                0.15228,                0.06915,                 2.1176,                 1.4713,                 1.3903,              0.0002038,              0.0002038,              0.0002038
                     68,                 2.2527,                 1.5055,                 1.4582,                0.33407,                0.20078,                0.16483,                0.07766,                 2.0616,                 1.3682,                 1.3652,             0.00019798,             0.00019798,             0.00019798
                     69,                 2.2431,                 1.5087,                 1.4547,                0.31142,                0.21259,                0.18178,                0.09332,                 2.0071,                  1.374,                 1.3578,             0.00019216,             0.00019216,             0.00019216
                     70,                 2.2592,                 1.5377,                 1.4603,                0.25095,                0.19744,                0.16629,                0.07919,                 2.1244,                 1.5181,                 1.3927,             0.00018634,             0.00018634,             0.00018634
                     71,                 2.2163,                 1.4935,                 1.4505,                0.27389,                0.21831,                0.18432,                0.08871,                  2.044,                 1.3892,                  1.359,             0.00018052,             0.00018052,             0.00018052
                     72,                 2.2668,                 1.5159,                  1.455,                0.31622,                0.20646,                0.18953,                0.09403,                 2.0021,                 1.3428,                 1.3513,             0.00017469,             0.00017469,             0.00017469
                     73,                 2.1721,                 1.4824,                 1.4424,                0.33797,                0.21518,                0.20065,                0.09959,                  1.983,                 1.3274,                 1.3434,             0.00016887,             0.00016887,             0.00016887
                     74,                 2.1857,                 1.4887,                 1.4401,                0.31045,                0.23361,                0.18952,                0.09282,                 1.9949,                  1.358,                 1.3435,             0.00016305,             0.00016305,             0.00016305
                     75,                 2.2358,                 1.5004,                 1.4619,                0.28921,                0.23656,                0.18987,                0.09293,                 2.0281,                 1.3755,                 1.3526,             0.00015723,             0.00015723,             0.00015723
                     76,                 2.2002,                 1.4648,                 1.4334,                0.32322,                0.21689,                0.18654,                 0.0916,                 2.0054,                 1.3222,                 1.3436,             0.00015141,             0.00015141,             0.00015141
                     77,                 2.2275,                 1.4938,                 1.4387,                 0.2973,                0.21749,                0.18028,                0.08558,                 2.0136,                 1.3715,                 1.3466,             0.00014559,             0.00014559,             0.00014559
                     78,                 2.1752,                 1.4637,                 1.4323,                0.27816,                0.22118,                0.17633,                0.08292,                 2.0472,                 1.3936,                 1.3617,             0.00013977,             0.00013977,             0.00013977
                     79,                  2.144,                 1.4269,                 1.4141,                0.31861,                0.22287,                0.19452,                0.09515,                 1.9613,                 1.3755,                 1.3341,             0.00013395,             0.00013395,             0.00013395
                     80,                 2.1276,                  1.426,                  1.403,                0.30797,                0.23416,                0.19204,                0.09553,                 2.0174,                 1.3775,                 1.3508,             0.00012813,             0.00012813,             0.00012813
                     81,                 2.1246,                 1.4158,                 1.4158,                0.33086,                0.23283,                0.21706,                0.10675,                 1.9578,                 1.3314,                 1.3294,              0.0001223,              0.0001223,              0.0001223
                     82,                 2.1512,                 1.4328,                 1.3956,                0.36663,                0.22486,                0.20016,                0.09867,                 1.9139,                  1.327,                 1.3166,             0.00011648,             0.00011648,             0.00011648
                     83,                 2.1856,                 1.4496,                 1.4259,                0.30951,                0.24438,                0.19086,                0.09337,                  1.925,                 1.3518,                 1.3143,             0.00011066,             0.00011066,             0.00011066
                     84,                 2.1365,                 1.4289,                 1.4014,                0.33195,                0.22281,                0.19647,                0.09607,                 1.9962,                 1.3528,                 1.3377,             0.00010484,             0.00010484,             0.00010484
                     85,                 2.1231,                 1.4397,                 1.4083,                0.34244,                0.21292,                0.20301,                0.09949,                 2.0046,                  1.316,                 1.3361,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                 2.1178,                 1.4248,                 1.4236,                0.32436,                0.22964,                 0.2017,                0.09929,                 1.9378,                 1.3132,                 1.3181,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                 2.1305,                 1.4361,                 1.4093,                0.30643,                0.23775,                0.20219,                0.09844,                 1.9429,                 1.3481,                 1.3173,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                 2.0925,                  1.407,                  1.406,                0.31129,                0.22676,                0.20638,                0.10295,                 1.9352,                 1.3389,                 1.3232,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                 2.0728,                 1.3942,                 1.3835,                0.33716,                0.23028,                 0.2152,                 0.1083,                 1.8971,                 1.2946,                 1.3136,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                 2.2798,                 1.9232,                  1.381,                0.34778,                0.22527,                0.21547,                0.10753,                 1.9144,                  1.318,                  1.305,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                 2.2525,                 1.7784,                 1.3786,                0.29571,                0.22967,                0.18931,                0.09113,                 2.0332,                 1.4871,                 1.3238,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                 2.2347,                 1.6937,                 1.3679,                0.20318,                 0.2337,                0.19701,                0.09532,                 1.9928,                 1.4928,                 1.3073,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                 2.1975,                 1.6498,                 1.3624,                0.23107,                0.25741,                0.20785,                0.10018,                 1.9682,                 1.4118,                 1.2968,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                 2.1652,                 1.6289,                 1.3469,                0.22525,                0.25515,                0.21085,                0.10361,                 1.9596,                 1.4182,                 1.2957,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                 2.2126,                 1.6511,                 1.3605,                0.21333,                0.25156,                0.20111,                0.10185,                 1.9877,                 1.5101,                 1.3101,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                 2.1831,                 1.6599,                 1.3624,                0.19006,                0.24867,                0.20112,                0.10304,                 1.9997,                 1.4726,                 1.3117,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                 2.1611,                  1.605,                 1.3464,                0.21853,                0.25073,                0.21165,                0.10893,                 1.9888,                  1.427,                 1.3111,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                 2.1522,                 1.5844,                 1.3473,                0.22488,                0.25897,                0.21327,                0.10949,                 1.9874,                 1.3986,                 1.3061,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                 2.2049,                 1.6345,                 1.3516,                0.22542,                 0.2662,                0.21554,                 0.1124,                 1.9697,                 1.4212,                 1.3025,             1.7522e-05,             1.7522e-05,             1.7522e-05
